epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,3579.54,1.17385,0.82776,0.00979,0.00281,0.97583,0.98493,0.98711,0.68933,1.07297,0.69518,0.00906,0.00311,0.0012872,0.0012872,0.0012872
38,3671.27,1.05191,0.73791,0.00894,0.00069,0.97583,0.98461,0.98869,0.67016,1.1382,0.6729,0.00938,0.00015,0.0012674,0.0012674,0.0012674
39,3760.24,1.07096,0.74868,0.00938,0.00055,0.9756,0.97536,0.98864,0.67343,1.13181,0.65576,0.00932,0.00021,0.0012476,0.0012476,0.0012476
40,3853.35,1.047,0.81126,0.00965,0.00103,0.9616,0.97561,0.988,0.6842,1.1103,0.64758,0.00922,0.00033,0.0012278,0.0012278,0.0012278
41,3949.87,1.12879,0.75788,0.01013,0.00068,0.97177,0.93902,0.98669,0.68006,1.11187,0.64415,0.0092,0.00024,0.001208,0.001208,0.001208
42,4043.83,1.1137,0.73966,0.01034,0.00024,0.93164,0.99724,0.98762,0.68057,1.0946,0.62488,0.00917,0.0001,0.0011882,0.0011882,0.0011882
43,4138.18,1.07375,0.68009,0.00945,0.00037,0.95286,0.98611,0.9874,0.68959,1.07903,0.60623,0.00906,0.00014,0.0011684,0.0011684,0.0011684
44,4232.76,1.09683,0.75475,0.00917,0.0006,0.96366,0.97025,0.98826,0.67359,1.12792,0.59615,0.00911,0.00022,0.0011486,0.0011486,0.0011486
45,4330.82,1.1007,0.69739,0.00959,0.00079,0.94406,0.9878,0.98977,0.67518,1.12667,0.58661,0.00916,0.00028,0.0011288,0.0011288,0.0011288
46,4427.45,1.08059,0.71316,0.00923,0.00075,0.97891,0.97561,0.99136,0.69054,1.10307,0.56048,0.0091,0.00018,0.001109,0.001109,0.001109
