epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
15,67.2288,0.91953,0.41794,0.00987,0.00011,0.9759,0.98759,0.99342,0.72303,1.00976,0.29208,0.00873,4e-05,0.0018152,0.0018152,0.0018152
23,87.4654,0.92914,0.46253,0.00877,0.00022,0.96296,1,0.99205,0.69617,1.07749,0.30322,0.00896,9e-05,0.00182576,0.00182576,0.00182576
16,71.373,0.99743,0.45905,0.00879,0.00023,0.98795,0.99944,0.99392,0.71848,1.00537,0.2888,0.00884,7e-05,0.001802,0.001802,0.001802
24,91.6071,0.94393,0.37658,0.00926,0.00033,0.95276,1,0.99194,0.69569,1.06966,0.30032,0.00899,0.00023,0.00181784,0.00181784,0.00181784
17,75.5697,0.9501,0.39749,0.00931,0.00024,0.98385,1,0.9938,0.71261,1.01527,0.29986,0.00887,8e-05,0.0017888,0.0017888,0.0017888
25,95.8517,0.96624,0.46169,0.00896,0.00056,0.98792,0.99743,0.9938,0.69765,1.02664,0.27744,0.00904,0.00053,0.00180992,0.00180992,0.00180992
18,79.667,0.9555,0.43747,0.00861,0.00017,0.97225,1,0.99329,0.68963,1.07587,0.31073,0.00892,5e-05,0.0017756,0.0017756,0.0017756
26,99.9291,0.96474,0.43418,0.00921,0.00044,0.97384,0.9878,0.99291,0.70504,1.00758,0.27667,0.00918,0.00046,0.001802,0.001802,0.001802
19,83.8793,0.90408,0.4666,0.00776,0.00025,0.976,0.99209,0.99379,0.69069,1.08573,0.33348,0.00898,7e-05,0.0017624,0.0017624,0.0017624
27,104.112,0.97039,0.46586,0.00889,0.00016,0.96464,0.99797,0.99343,0.70868,1.03552,0.27881,0.00927,5e-05,0.00179408,0.00179408,0.00179408
20,88.015,0.89801,0.41814,0.00933,0.00015,0.98573,1,0.99404,0.68112,1.06327,0.32014,0.00899,6e-05,0.0017492,0.0017492,0.0017492
28,108.25,0.87673,0.37622,0.00888,0.00026,0.9761,0.99635,0.99119,0.68187,1.12991,0.29842,0.00943,0.00017,0.00178616,0.00178616,0.00178616
21,92.3538,0.93459,0.44639,0.00957,0.00016,0.95184,1,0.99344,0.68961,1.03672,0.30943,0.00888,0.0001,0.001736,0.001736,0.001736
29,112.608,1.03204,0.44872,0.00983,0.00066,0.97396,1,0.99062,0.67006,1.15997,0.31485,0.00951,0.00025,0.00177824,0.00177824,0.00177824
